"a_mort","a_inc","prod_growth","a_res_cost","a_int_cost","h_res_mort","h_sus_mort","a_res_prob","a_sus_prob","a_res_mort","a_sus_mort","h_amr_fall","a_amr_fall","drr","ICER"
0.0328708087749245,5.173388285007,0.0624205372000858,2.45081126014702,0.000530632305890322,1,2.81292677560499e-120,0.999855594888214,2.88388456556197e-07,0.155974420390753,0.00181533644466016,9.28122262612808e-10,0.00347200812162659,7.69883082201704,21344442644889.4
0.031230121513582,3.86313373678499,0.0558005389575903,2.49976736074314,0.131044603628106,6.60431959702258e-312,6.16051248772445e-13,9.99913151663333e-09,0.0544538465529358,0.000229920199420993,0.556594731124389,0.107084835846505,0.000359890872529101,8.02291619125754,19133.8956704866
0.0375912785606885,2.67468714292033,0.0521846207287908,1.57791709876619,0.281023823353462,5.97728356589295e-54,2.74533748732922e-150,9.38873894117361e-13,0.978202601296173,0.777196247009056,0.982333072286772,0.57337540285515,0.999999999994445,8.52799709234387,6071.27820760284
0.0307016488604254,4.10777915536516,0.0547675473162557,1.9353535734117,0.262465409631841,6.06616387917489e-194,7.04543230762551e-08,0.00886905362646585,0.126196103877622,0.0186458085580567,0.0445912992055602,0.543512957628253,5.55212037676095e-08,3.70286671305075,6542.30667255288
0.0322784555989668,5.7026579766026,0.0499905258858862,1.81623732694425,0.210342713794671,5.55416227287709e-279,7.11210888844244e-159,0.00625676584634888,0.980890785181018,0.276248693563013,0.599576060406801,0.929923965435637,0.664549330192717,1.94132224703208,-57705.9754007739
0.0304712023450546,3.98342364181531,0.0579573655721539,1.7406552308239,0.110690620634705,6.60431959702258e-312,1,0.998673468465751,0.0917842870974518,0.994071022817108,0.202962449991509,0.127157427569162,6.58588390511778e-06,3.2638041805476,1278.18954677807
0.0427380017301688,5.00867553256498,0.0563608859438105,2.4466181686148,0.21154520236887,1,1,0.981999248263435,0.206778403635071,0.800494705334726,0.451708013465721,0.993636249387833,0.998740807105916,9.60096266213804,-1986.17856126874
0.0331818795512391,3.46834888196328,0.0556884681653357,2.09147956129164,0.0494971716077998,6.60431959702258e-312,0.996052714170176,0.922442300226932,0.00739777553850692,0.000226089633462243,0.269345305934418,0.916539474981861,0.00106042649277152,9.13910852558911,-508.471875495606
0.0247342678759382,4.23436942547131,0.0520228441406343,2.39872975926846,0.0811496678274125,3.0782740276119e-151,1.75758472829784e-311,7.62491144684187e-12,0.877293267289268,0.373265474772803,0.000843371457768162,0.000184989060982799,0.0100355510104644,2.63925478607416,7725184.87490311
0.035176061913105,4.94917108692912,0.060372819966737,2.03590053971857,0.232240618765354,6.60431959702258e-312,5.25803540391932e-37,2.93003863371644e-05,0.00427141375636328,0.00479395637770441,1.131519710874e-05,0.446697714371587,0.0802874841952089,7.5219925576821,6673.12170368655
0.036456456739002,4.28621443196809,0.0639162113498391,1.95452740578912,0.00806801354046911,2.80183326275438e-39,1.00542285992129e-75,0.00582622316145201,0.269333694341581,0.000100739899123992,0.00066355868020762,0.998259910521578,2.41253739216686e-05,6.58036040700972,-2246.49356217751
0.0276903156884532,5.72992730644415,0.0559438510539762,2.38061286415905,0.0638635906856507,1,1,0.0646516913632678,0.379704985002116,0.0322433575272439,0.22758766856468,0.000265856324496016,0.998068698647601,4.23960594832897,-227336.928178095
0.035280237978202,5.01102066191323,0.0580841803369267,1.70528998831287,0.0263310007285327,1,1,0.999999999999865,0.191125569481567,3.54787553411345e-10,0.000100327463147934,0.000112083489128463,1.45984949716627e-06,6.94952625595033,1803518.32157151
0.0309402758878681,4.5865610485114,0.057331184451662,1.66585634159856,0.181561838951893,2.82574730387935e-180,1,0.244283440381369,0.999308665725539,0.147640810154252,0.00303902751956588,0.918734301722323,0.86328750647523,7.69740142906085,-764.169683839504
0.0311495861386006,4.21858826715753,0.0582424267778084,1.70701039629057,0.0675983780762181,1.17814588941798e-34,1,0.925309076581858,0.862701220440395,0.00147628498859644,0.000159730983374232,9.64456016256269e-08,0.958250266656952,7.58002481842414,-6127293940.67851
0.0311613758541424,4.18893591487315,0.0542808066837869,1.58522405801341,0.121161687886342,1,1.33631169186755e-72,1.57784939588797e-09,0.979341775297935,0.204827986765238,0.00210745495534859,0.183303117662381,0.460368166727082,5.85303335962817,13655.5852069739
0.0338119857609939,4.16425397295842,0.0615782342865276,1.50599292083643,0.0421310126781464,1,1.79479751732812e-78,5.14690040968165e-10,0.284176477646936,0.433590458420321,0.000776997967528693,0.178699695150144,0.445786305624436,6.68646515812725,2914.43647553136
0.0342179212929648,3.98553005661174,0.0577635403863894,2.42145115672611,0.0717685773968697,6.60431959702258e-312,2.34477000932263e-135,0.124709563945601,0.738273587412353,2.42557290207651e-05,0.927358846520402,7.02369309694872e-06,0.00353773433123517,4.58017385331914,485151468.064439
0.0342185387880741,5.32619175755501,0.0572069561586697,2.30107305967249,0.206676981830969,6.60431959702258e-312,5.15351443359838e-13,0.313909223169052,0.991342173468607,1.46277543031926e-06,0.188948508148651,0.219723939956322,0.438108734183193,8.23567352769896,-31355.6565209186
0.0401349199800185,5.04154756771975,0.0557442265828329,1.52455607359298,0.181812166236341,1,1.06115027019708e-266,0.937921169025243,0.0066731880501532,0.999588279607387,6.29782884373749e-06,8.71260487646986e-05,0.00794011362536952,0.731734837871045,5251705428.75215
0.0346859919210953,4.34443057179901,0.054012558091048,2.18433618894778,0.149364799610339,5.96612273612699e-154,0.999980283434436,5.72099741093583e-08,0.999973391853267,0.180750049949177,0.392789473134734,0.074028233924063,0.933256839300925,3.71238207444549,-25.7347650576249
