Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,35,Cabo Verde,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,2521.4,,Official data
PP,Producer Prices,101,Indonesia,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,2228.6,,Official data
PP,Producer Prices,113,Kyrgyzstan,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,2014.8,,Official data
PP,Producer Prices,141,Mongolia,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1993.2,,Official data
PP,Producer Prices,171,Philippines,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,2040.7,,Official data
PP,Producer Prices,38,Sri Lanka,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,736.8,,Official data
PP,Producer Prices,230,Ukraine,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1441.9,,Official data
,,,,,,,,,,,,,1853.914286,,
