Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,75,Gambia,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,1747.3,,Official data
PP,Producer Prices,90,Guinea,5532,Producer Price (USD/tonne),1056,"Meat live weight, pig",2019,2019,7021,Annual value,USD,881.3,,Official data
,,,,,,,,,,,,,1314.3,,
